iter	MultiClass
0	0.9685444574
1	0.699608839
2	0.5306069471
3	0.4230053664
4	0.3474332123
5	0.2914904462
6	0.2504581349
7	0.2152880829
8	0.1839034619
9	0.1610714435
10	0.1443332908
11	0.1306978873
12	0.1183403312
13	0.1102841411
14	0.1044993175
15	0.09924772331
16	0.09508970515
17	0.09089885813
18	0.08654178386
19	0.08379158758
20	0.08127723392
21	0.07811116244
22	0.07639228582
23	0.07482949213
24	0.07360653414
25	0.07123795434
26	0.06976390324
27	0.0689178943
28	0.06777956717
29	0.06690682103
30	0.06597682627
31	0.06501835944
32	0.06366796803
33	0.06238401791
34	0.06157963644
35	0.0610195136
36	0.06035894337
37	0.05974830721
38	0.05923499107
39	0.05886055226
40	0.05820099093
41	0.05762414742
42	0.05727073302
43	0.05691879983
44	0.05662329466
45	0.05638649955
46	0.05611237816
47	0.05592416365
48	0.05540043419
49	0.05519265462
50	0.0549212867
51	0.05458326272
52	0.05425142378
53	0.05407308177
54	0.05383906462
55	0.05364707188
56	0.05343177643
57	0.05325864025
58	0.05312053082
59	0.05297576654
60	0.05279563177
61	0.05261245945
62	0.05242635532
63	0.05229078826
64	0.05214366679
65	0.05201970631
66	0.05189802085
67	0.05175580698
68	0.05155501467
69	0.05143902721
70	0.05137366552
71	0.05127265103
72	0.05112247774
73	0.05104536064
74	0.05090682475
75	0.05081657901
76	0.05069544324
77	0.05060355763
78	0.05053335521
79	0.05045159879
80	0.05038137131
81	0.05031706608
82	0.05023812257
83	0.05015906625
84	0.05007586942
85	0.04999577951
86	0.04992006001
87	0.0498318044
88	0.04975180342
89	0.04966438681
90	0.04958672266
91	0.0495322941
92	0.04950371481
93	0.04945566639
94	0.04940519107
95	0.04933930028
96	0.0492865809
97	0.04918861793
98	0.04915257027
99	0.04911797722
100	0.04908318946
101	0.04901694494
102	0.0489603143
103	0.04893065308
104	0.04878915106
105	0.04875115828
106	0.04871942094
107	0.04868215394
108	0.04860834519
109	0.0485770733
110	0.04855246453
111	0.04852634598
112	0.04850000183
113	0.04844028489
114	0.04836553071
115	0.04834268945
116	0.04828971607
117	0.04826655777
118	0.04823890823
119	0.04817200988
120	0.04814357956
121	0.04809657622
122	0.04805371464
123	0.04801672524
124	0.04797823141
125	0.04794668435
126	0.04791012128
127	0.04788334712
128	0.04786100356
129	0.04782689117
130	0.04780372587
131	0.04776674475
132	0.04773391629
133	0.04769204889
134	0.04766595934
135	0.04759122812
136	0.04756873135
137	0.04755106428
138	0.047527498
139	0.04749787044
140	0.04746659883
141	0.0474453233
142	0.04742023719
143	0.04735776831
144	0.04733120762
145	0.0473167593
146	0.04729696656
147	0.04728394182
148	0.0472569897
149	0.04724048079
150	0.04722888657
151	0.04721221979
152	0.04720296341
153	0.04718497348
154	0.04715867333
155	0.04714131785
156	0.04712479399
157	0.04710656739
158	0.04709129336
159	0.04707710105
160	0.04706112654
161	0.04703942186
162	0.04702696308
163	0.0469925579
164	0.04697944766
165	0.04696419548
166	0.04695497559
167	0.04691902941
168	0.04690915942
169	0.04689167171
170	0.04684801447
171	0.04683211143
172	0.04682462981
173	0.04680777504
174	0.0467966262
175	0.04677178579
176	0.04676487172
177	0.04675637803
178	0.04672240326
179	0.04670823153
180	0.04669065154
181	0.04668422299
182	0.04667707152
183	0.04666723667
184	0.04665535912
185	0.04664204834
186	0.0466160129
187	0.04659598735
188	0.04658735176
189	0.04657589419
190	0.04656450696
191	0.04654099401
192	0.0465295202
193	0.04651998197
194	0.04651484273
195	0.04650820435
196	0.04650127636
197	0.04648215507
198	0.0464664705
199	0.04646178828
200	0.04645745231
201	0.04643187994
202	0.04640332908
203	0.04638059227
204	0.04637515437
205	0.04633103717
206	0.04632234545
207	0.04631367181
208	0.04627402145
209	0.04624527468
210	0.04623148974
211	0.04622384847
212	0.04621293296
213	0.04620629243
214	0.04619598447
215	0.04618786646
216	0.04617749123
217	0.04616760684
218	0.04616220331
219	0.04613670625
220	0.04612881571
221	0.04612429976
222	0.04610042906
223	0.0460935734
224	0.04607380288
225	0.04606977899
226	0.04606578911
227	0.04605132293
228	0.04603618127
229	0.04602598474
230	0.04602143955
231	0.04601752706
232	0.04601177074
233	0.04600447077
234	0.04600071928
235	0.04599628548
236	0.04599278573
237	0.04597664276
238	0.04596783091
239	0.04596133734
240	0.04595034612
241	0.04594035185
242	0.04593365743
243	0.04592612311
244	0.04591798086
245	0.04591531317
246	0.04591082683
247	0.04590725743
248	0.04589187563
249	0.04587729976
250	0.04587410847
251	0.0458640931
252	0.04585776073
253	0.04585364431
254	0.04582568694
255	0.0458082647
256	0.04580015287
257	0.0457931287
258	0.04577944889
259	0.0457601375
260	0.0457544695
261	0.04574247038
262	0.04573926359
263	0.04573658885
264	0.04571868389
265	0.04571505732
266	0.04569589592
267	0.04569256411
268	0.04566605936
269	0.0456602646
270	0.0456559915
271	0.04565032506
272	0.04564713399
273	0.04564491798
274	0.04562939637
275	0.04562188632
276	0.04561957453
277	0.04561512855
278	0.04561298583
279	0.04560684069
280	0.04560351693
281	0.04560118518
282	0.04559667444
283	0.04558952648
284	0.04557993682
285	0.0455649317
286	0.04556174296
287	0.0455498349
288	0.04553755009
289	0.04553105516
290	0.0455215461
291	0.04551334071
292	0.04550767109
293	0.04550360377
294	0.04546617566
295	0.04546172256
296	0.04542542794
297	0.04542173288
298	0.04541393135
299	0.0454000174
